type	latitude	longitude	altitude (m)	name	desc
T	-12.012021096	-76.945964010	304.5		
T	-12.012308006	-76.945393020	304.9		
T	-12.012301320	-76.945261437	305.1		
T	-12.012251069	-76.944966401	305.6		
T	-12.012133622	-76.944739036	305.8		
T	-12.012131973	-76.944706116	305.8		
T	-12.012003871	-76.944973660	306.2		
T	-12.011832571	-76.945077947	306.4		
T	-12.011768615	-76.945212144	306.3		
T	-12.011775631	-76.945344264	306.0		
T	-12.011791121	-76.945641465	305.3		
T	-12.011800281	-76.945806664	304.9		
T	-12.011807578	-76.945938768	304.7		
T	-12.011817458	-76.946136928	304.4		
T	-12.011823393	-76.946268978	304.2		
T	-12.011795492	-76.946435486	303.8		
T	-12.011695365	-76.946571979	303.3		
T	-12.011665940	-76.946705713	303.1		
T	-12.011534426	-76.946943414	303.8		
T	-12.011574503	-76.947041165	304.0		
T	-12.011720137	-76.947101010	304.1		
T	-12.011899906	-76.947159120	304.4		
T	-12.012074526	-76.947118123	304.5		
T	-12.012101859	-76.946951643	304.5		
T	-12.012164454	-76.946783752	304.7		
T	-12.012227169	-76.946616056	305.0		
T	-12.012351061	-76.946248321	304.8		
T	-12.012345119	-76.946116762	304.6		
T	-12.012335171	-76.945919368	304.3		
T	-12.012389946	-76.945620830	304.4		
T	-12.012386568	-76.945555066	304.5		
T	-12.012415267	-76.945422472	304.6		
T	-12.012442073	-76.945257014	304.8		
T	-12.012435445	-76.945125553	305.0		
T	-12.012499182	-76.944992059	305.0		
T	-12.012557652	-76.944760216	304.6		
T	-12.012550987	-76.944628929	304.4		
T	-12.012579022	-76.944496688	304.2		
T	-12.012599267	-76.944265612	303.9		
T	-12.012662952	-76.944165291	303.6		
T	-12.012654582	-76.944001329	304.2		
T	-12.012653085	-76.943968571	304.3		
T	-12.012642616	-76.943739290	305.1		
T	-12.012624674	-76.943378727	306.4		
T	-12.012689202	-76.943279078	306.4		
T	-12.012786814	-76.943146200	306.4		
T	-12.012816098	-76.943014966	306.7		
T	-12.012878708	-76.942850639	307.0		
T	-12.012908386	-76.942719753	307.3		
T	-12.013005426	-76.942523056	307.9		
T	-12.013107997	-76.942521362	307.9		
T	-12.013240210	-76.942357156	308.2		
T	-12.013372278	-76.942193387	308.2		
T	-12.013497774	-76.941932012	308.2		
T	-12.013494702	-76.941835030	308.4		
T	-12.013487714	-76.941672807	308.6		
T	-12.013477980	-76.941477746	309.0		
T	-12.013466903	-76.941250273	309.4		
T	-12.013528448	-76.941024134	309.8		
T	-12.013726921	-76.940117525	310.9		
T	-12.013751659	-76.939923395	311.1		
T	-12.013915059	-76.939699663	311.6		
T	-12.013920253	-76.939828473	311.4		
T	-12.013963512	-76.940054134	311.0		
T	-12.013971187	-76.940215701	310.9		
T	-12.013976070	-76.940344436	310.9		
T	-12.013983288	-76.940505860	310.9		
T	-12.013991955	-76.940699605	310.8		
T	-12.013997765	-76.940828804	310.8		
T	-12.013966542	-76.940893451	310.5		
T	-12.013874326	-76.941088189	309.7		
T	-12.013878286	-76.941216874	309.3		
T	-12.013787232	-76.941476218	308.5		
T	-12.013760857	-76.941638552	308.1		
T	-12.013697811	-76.941800482	307.9		
T	-12.013634885	-76.941962677	307.8		
T	-12.013572794	-76.942125352	307.7		
T	-12.013478496	-76.942289319	307.8		
T	-12.013415323	-76.942452177	307.8		
T	-12.013355180	-76.942648259	307.2		
T	-12.013327159	-76.942811210	306.5		
T	-12.013299636	-76.942974497	305.8		
T	-12.013239470	-76.943138893	305.2		
T	-12.013177453	-76.943335297	304.6		
T	-12.013116517	-76.943532267	304.2		
T	-12.013088120	-76.943663611	304.0		
T	-12.013058208	-76.943762370	303.8		
T	-12.012968756	-76.944059044	303.2		
T	-12.012941272	-76.944190899	303.0		
T	-12.012883564	-76.944389406	303.3		
T	-12.012865428	-76.944652865	303.7		
T	-12.012804205	-76.944786118	304.0		
T	-12.012809194	-76.944884408	304.1		
T	-12.012747640	-76.945050342	304.4		
T	-12.012691014	-76.945314854	304.3		
